filtered_street,WEIGHT
1 Avenue,580.0
1 Place,13.0
1 Street,8.0
10 Avenue,302.0
10 Street,30.0
100 Avenue,19.0
100 Street,63.0
101 Avenue,151.0
101 Street,33.0
102 Avenue,7.0
102 Road,2.0
102 Street,92.0
103 Avenue,90.0
103 Street,45.0
104 Avenue,42.0
104 Road,1.0
104 Street,84.0
105 Avenue,11.0
105 Street,35.0
106 Avenue,7.0
106 Street,22.0
107 Avenue,100.0
107 Street,36.0
108 Avenue,13.0
108 Street,178.0
109 Avenue,95.0
109 Road,9.0
109 Street,29.0
11 Avenue,227.0
11 Place,1.0
11 Street,54.0
110 Avenue,48.0
110 Road,14.0
110 Street,38.0
111 Avenue,99.0
111 Road,3.0
111 Street,135.0
112 Avenue,18.0
112 Road,18.0
112 Street,49.0
112B Broad Street,1.0
113 Avenue,33.0
113 Drive,2.0
113 Road,1.0
113 Street,26.0
1135A Morris Park Avenue,3.0
114 Drive,1.0
114 Road,19.0
114 Street,75.0
115 Avenue,125.0
115 Drive,3.0
115 Road,15.0
115 Street,36.0
116 Avenue,56.0
116 Road,3.0
116 Street,40.0
116-50A 225 Street,1.0
117 Road,1.0
117 Street,19.0
1177B Flushing Avenue,1.0
118 Avenue,44.0
118 Road,2.0
118 Street,33.0
119 Avenue,38.0
119 Drive,1.0
119 Road,3.0
119 Street,6.0
12 Avenue,73.0
12 Road,4.0
12 Street,31.0
120 Avenue,78.0
120 Street,40.0
121 Avenue,9.0
121 Street,27.0
122 Avenue,24.0
122 Place,6.0
122 Street,31.0
123 Avenue,25.0
123 Street,44.0
124 Place,1.0
124 Street,27.0
125 Avenue,5.0
125 Street,31.0
126 Avenue,2.0
126 Place,1.0
126 Street,54.0
127 Avenue,18.0
127 Place,1.0
127 Street,50.0
128 Avenue,11.0
128 Drive,1.0
128 Road,1.0
128 Street,22.0
129 Avenue,8.0
129 Street,41.0
13 Avenue,102.0
13 Street,22.0
130 Avenue,58.0
130 Street,76.0
1300B Central Avenue,3.0
131 Avenue,22.0
131 Street,29.0
132 Avenue,7.0
132 Street,26.0
133 Avenue,69.0
133 Drive,1.0
133 Road,2.0
133 Street,22.0
134 Avenue,16.0
134 Street,44.0
135 Avenue,90.0
135 Place,1.0
135 Street,28.0
136 Avenue,14.0
136 Street,13.0
137 Avenue,39.0
137 Road,3.0
137 Street,11.0
138 Avenue,14.0
138 Place,4.0
138 Road,1.0
138 Street,44.0
139 Avenue,18.0
139 Street,37.0
14 Avenue,178.0
14 Road,15.0
14 Street,39.0
140 Avenue,31.0
140 Street,21.0
141 Avenue,14.0
141 Road,1.0
141 Street,19.0
142 Avenue,4.0
142 Place,6.0
142 Street,29.0
143 Avenue,23.0
143 Road,2.0
143 Street,29.0
144 Avenue,35.0
144 Drive,1.0
144 Place,4.0
144 Road,7.0
144 Street,31.0
144 Terrace,1.0
145 Avenue,17.0
145 Drive,5.0
145 Road,11.0
145 Street,11.0
146 Avenue,5.0
146 Drive,3.0
146 Road,1.0
146 Street,60.0
147 Avenue,49.0
147 Drive,6.0
147 Place,2.0
147 Road,4.0
147 Street,95.0
148 Avenue,10.0
148 Drive,3.0
148 Road,6.0
148 Street,34.0
149 Avenue,37.0
149 Drive,3.0
149 Place,11.0
149 Road,7.0
149 Street,71.0
15 Avenue,88.0
15 Street,27.0
150 Avenue,8.0
150 Drive,3.0
150 Place,4.0
150 Street,191.0
151 Avenue,8.0
151 Street,3.0
152 Avenue,2.0
152 Street,8.0
153 Avenue,13.0
153 Lane,1.0
153 Street,43.0
154 Street,45.0
155 Avenue,3.0
155 Street,64.0
156 Avenue,4.0
