,filtered_street,WEIGHT
0,1st Avenue,580.0
1,1st Place,13.0
2,1st Street,8.0
3,10th Avenue,302.0
4,10th Street,30.0
5,100th Avenue,19.0
6,100th Street,63.0
7,101st Avenue,151.0
8,101st Street,33.0
9,102nd Avenue,7.0
10,102nd Road,2.0
11,102nd Street,92.0
12,103rd Avenue,90.0
13,103rd Street,45.0
14,104th Avenue,42.0
15,104th Road,1.0
16,104th Street,84.0
17,105th Avenue,11.0
18,105th Street,35.0
19,106th Avenue,7.0
20,106th Street,22.0
21,107th Avenue,100.0
22,107th Street,36.0
23,108th Avenue,13.0
24,108th Street,178.0
25,109th Avenue,95.0
26,109th Road,9.0
27,109th Street,29.0
28,11th Avenue,227.0
29,11th Place,1.0
30,11th Street,54.0
31,110th Avenue,48.0
32,110th Road,14.0
33,110th Street,38.0
34,111th Avenue,99.0
35,111th Road,3.0
36,111th Street,135.0
37,112th Avenue,18.0
38,112th Road,18.0
39,112th Street,49.0
40,112thB Broad Street,1.0
41,113th Avenue,33.0
42,113th Drive,2.0
43,113th Road,1.0
44,113th Street,26.0
45,1135thA Morris Park Avenue,3.0
46,114th Drive,1.0
47,114th Road,19.0
48,114th Street,75.0
49,115th Avenue,125.0
50,115th Drive,3.0
51,115th Road,15.0
52,115th Street,36.0
53,116th Avenue,56.0
54,116th Road,3.0
55,116th Street,40.0
56,116th-50A 225 Street,1.0
57,117th Road,1.0
58,117th Street,19.0
59,1177thB Flushing Avenue,1.0
60,118th Avenue,44.0
61,118th Road,2.0
62,118th Street,33.0
63,119th Avenue,38.0
64,119th Drive,1.0
65,119th Road,3.0
66,119th Street,6.0
67,12th Avenue,73.0
68,12th Road,4.0
69,12th Street,31.0
70,120th Avenue,78.0
71,120th Street,40.0
72,121st Avenue,9.0
73,121st Street,27.0
74,122nd Avenue,24.0
75,122nd Place,6.0
76,122nd Street,31.0
77,123rd Avenue,25.0
78,123rd Street,44.0
79,124th Place,1.0
80,124th Street,27.0
81,125th Avenue,5.0
82,125th Street,31.0
83,126th Avenue,2.0
84,126th Place,1.0
85,126th Street,54.0
86,127th Avenue,18.0
87,127th Place,1.0
88,127th Street,50.0
89,128th Avenue,11.0
90,128th Drive,1.0
91,128th Road,1.0
92,128th Street,22.0
93,129th Avenue,8.0
94,129th Street,41.0
95,13th Avenue,102.0
96,13th Street,22.0
97,130th Avenue,58.0
98,130th Street,76.0
99,1300thB Central Avenue,3.0
100,131st Avenue,22.0
101,131st Street,29.0
102,132nd Avenue,7.0
103,132nd Street,26.0
104,133rd Avenue,69.0
105,133rd Drive,1.0
106,133rd Road,2.0
107,133rd Street,22.0
108,134th Avenue,16.0
109,134th Street,44.0
110,135th Avenue,90.0
