,node,y,x,ref,highway,street_count
0,39076461,40.7864093,-73.7946273,33,motorway_junction,3
1,39076490,40.7624294,-73.7570906,31W,motorway_junction,3
2,39076504,40.7534671,-73.7441643,30W,motorway_junction,3
3,42421728,40.7980478,-73.9600437,,traffic_signals,3
4,42421731,40.798645,-73.9614743,,traffic_signals,4
5,42421737,40.7992545,-73.962886,,traffic_signals,4
6,42421741,40.8004313,-73.9657046,,traffic_signals,4
7,42421745,40.8014007,-73.9679942,,traffic_signals,4
8,42421749,40.8016441,-73.9685711,,traffic_signals,4
9,42421751,40.8022679,-73.9700504,,,3
10,42421769,40.7826383,-73.9750067,,traffic_signals,3
11,42421772,40.783828,-73.9778254,,traffic_signals,4
12,42421775,40.7845691,-73.9795827,,traffic_signals,4
13,42421776,40.7850311,-73.9806779,,traffic_signals,4
14,42421778,40.7855935,-73.9820114,,,3
15,42421783,40.8593027,-73.9313326,,traffic_signals,5
16,42421785,40.858744,-73.930122,,,3
17,42421786,40.859012,-73.927625,,,3
18,42421791,40.859944,-73.926786,,,3
19,42421800,40.7839863,-73.9703136,,traffic_signals,3
20,42421803,40.7851818,-73.9731496,,traffic_signals,4
21,42421806,40.7863627,-73.9759753,,traffic_signals,4
22,42421809,40.7870877,-73.9776927,,traffic_signals,4
23,42421810,40.7875673,-73.9788289,,traffic_signals,4
24,42421820,40.7885135,-73.9810702,,traffic_signals,3
25,42421828,40.725326,-73.976212,,,3
26,42421852,40.8126219,-73.9568234,,,3
27,42421857,40.8138307,-73.9598214,,traffic_signals,4
28,42421865,40.814184,-73.9606929,,,3
29,42421877,40.7328569,-73.9959291,,traffic_signals,4
30,42421889,40.7341463,-73.9991816,,traffic_signals,4
31,42421941,40.704221,-74.0087998,,traffic_signals,3
32,42421946,40.703813,-74.008325,,,3
33,42421951,40.7033242,-74.0077787,,traffic_signals,4
34,42421960,40.7041084,-74.0089696,,traffic_signals,4
35,42421965,40.7032082,-74.0079771,,traffic_signals,4
36,42421969,40.769279,-73.9810202,,traffic_signals,3
37,42421972,40.7697921,-73.9822548,,traffic_signals,4
38,42421974,40.7704805,-73.9838467,,traffic_signals,3
39,42421982,40.7716682,-73.9866896,,traffic_signals,4
40,42421985,40.7728658,-73.9895487,,traffic_signals,4
41,42421993,40.7872303,-73.9679486,,traffic_signals,3
42,42421996,40.7884325,-73.9707862,,traffic_signals,4
43,42422000,40.7896131,-73.9736025,,traffic_signals,4
44,42422006,40.7902552,-73.9751319,,traffic_signals,4
45,42422016,40.7908174,-73.9764565,,traffic_signals,4
46,42422018,40.7917606,-73.9786893,,traffic_signals,3
47,42422026,40.7115654,-74.0158085,,traffic_signals,3
48,42422028,40.7110102,-74.0143968,,traffic_signals,5
49,42422035,40.7101452,-74.0126714,,,4
50,42422038,40.709687,-74.011674,,traffic_signals,3
51,42422042,40.7091439,-74.010521,,traffic_signals,4
52,42422050,40.708614,-74.009371,,,4
53,42422053,40.7077219,-74.008269,,,4
54,42422086,40.801654,-73.933383,,,3
55,42422110,40.8021373,-73.9337863,,,3
56,42422168,40.8021279,-73.9328482,,,3
57,42422207,40.8006413,-73.9310755,,,3
58,42422258,40.7482137,-74.0074126,,traffic_signals,3
59,42422270,40.7064526,-74.002383,2,motorway_junction,3
60,42422283,40.7094916,-74.001657,,traffic_signals,5
61,42422359,40.7979661,-73.9223431,,,3
62,42422366,40.7854139,-73.9836866,,,4
63,42422399,40.7880898,-73.982724,,,3
64,42422509,40.7380812,-73.973672,,,3
65,42422530,40.759667,-73.9582334,,,3
66,42422545,40.7851419,-73.9841938,,,3
67,42422592,40.7849838,-73.9826637,,traffic_signals,4
68,42422899,40.7456771,-73.9721195,,traffic_signals,4
69,42423020,40.7460933,-73.9749173,,traffic_signals,5
70,42423039,40.7165061,-73.9756975,,,3
71,42423051,40.7188498,-73.9747446,,traffic_signals,4
72,42423070,40.7835427,-73.9853308,,motorway_junction,3
73,42423101,40.8442431,-73.9337066,,traffic_signals,4
74,42423116,40.8461493,-73.9323138,,traffic_signals,3
75,42423170,40.8026802,-73.9326138,,motorway_junction,3
76,42423189,40.8033714,-73.9329248,,traffic_signals,4
77,42423203,40.8027007,-73.9334044,,traffic_signals,4
78,42423295,40.71325,-73.977586,,traffic_signals,5
79,42423296,40.7124485,-73.9777809,,,3
80,42423307,40.7107361,-73.9816369,,,3
81,42423331,40.7858009,-73.9837441,,motorway_junction,3
82,42423456,40.7237914,-74.006113,,traffic_signals,5
83,42423514,40.724504,-74.007029,,,6
84,42423549,40.7210513,-73.9747141,5,motorway_junction,3
85,42423564,40.7589757,-73.964501,,traffic_signals,3
86,42423565,40.7596362,-73.9639971,,traffic_signals,4
87,42423579,40.7595738,-73.960551,,,3
88,42423674,40.766876,-73.979076,,traffic_signals,3
89,42423752,40.7620792,-73.9619892,,traffic_signals,4
90,42423774,40.738358,-73.9737798,,,3
91,42423832,40.7588307,-73.9987308,,,3
92,42423836,40.7593876,-73.9969538,,,3
93,42423847,40.7588687,-73.9992177,,,3
94,42423885,40.7577413,-73.9968472,,traffic_signals,4
95,42424025,40.7828637,-73.943749,,traffic_signals,5
96,42424032,40.7803049,-73.9856663,,traffic_signals,3
97,42424089,40.7606212,-73.9643559,,traffic_signals,5
98,42424109,40.794774,-73.9304732,16,motorway_junction,3
99,42424117,40.7944866,-73.9318124,,,3
100,42424133,40.793786,-73.9322343,,,3
101,42424142,40.7696458,-73.9483958,,,3
102,42424145,40.7687012,-73.9491484,,,3
103,42424218,40.769378,-73.9950384,,traffic_signals,3
104,42424225,40.7794868,-73.9735933,,traffic_signals,3
105,42424235,40.817189,-73.934463,,stop,4
106,42424258,40.7217241,-74.0067668,1,motorway_junction,3
107,42424334,40.7211998,-74.0079995,2,motorway_junction,3
108,42424347,40.7209099,-74.0078146,3,motorway_junction,3
