y,x,ref,highway,street_count,geometry
40.7864093,-73.7946273,33,motorway_junction,3,POINT (-73.7946273 40.7864093)
40.7624294,-73.7570906,31W,motorway_junction,3,POINT (-73.7570906 40.7624294)
40.7534671,-73.7441643,30W,motorway_junction,3,POINT (-73.74416429999999 40.7534671)
40.7980478,-73.9600437,,traffic_signals,3,POINT (-73.9600437 40.7980478)
40.798645,-73.9614743,,traffic_signals,4,POINT (-73.96147430000001 40.798645)
40.7992545,-73.962886,,traffic_signals,4,POINT (-73.962886 40.7992545)
40.8004313,-73.9657046,,traffic_signals,4,POINT (-73.9657046 40.8004313)
40.8014007,-73.9679942,,traffic_signals,4,POINT (-73.96799420000001 40.8014007)
40.8016441,-73.9685711,,traffic_signals,4,POINT (-73.96857110000001 40.8016441)
40.8022679,-73.9700504,,,3,POINT (-73.97005040000001 40.8022679)
40.7826383,-73.9750067,,traffic_signals,3,POINT (-73.97500669999999 40.7826383)
40.783828,-73.9778254,,traffic_signals,4,POINT (-73.9778254 40.783828)
40.7845691,-73.9795827,,traffic_signals,4,POINT (-73.97958269999999 40.7845691)
40.7850311,-73.9806779,,traffic_signals,4,POINT (-73.9806779 40.7850311)
40.7855935,-73.9820114,,,3,POINT (-73.9820114 40.7855935)
40.8593027,-73.9313326,,traffic_signals,5,POINT (-73.9313326 40.8593027)
40.858744,-73.930122,,,3,POINT (-73.930122 40.858744)
40.859012,-73.927625,,,3,POINT (-73.92762500000001 40.859012)
40.859944,-73.926786,,,3,POINT (-73.92678600000001 40.859944)
40.7839863,-73.9703136,,traffic_signals,3,POINT (-73.9703136 40.7839863)
40.7851818,-73.9731496,,traffic_signals,4,POINT (-73.9731496 40.7851818)
40.7863627,-73.9759753,,traffic_signals,4,POINT (-73.9759753 40.7863627)
40.7870877,-73.9776927,,traffic_signals,4,POINT (-73.97769270000001 40.7870877)
40.7875673,-73.9788289,,traffic_signals,4,POINT (-73.9788289 40.7875673)
40.7885135,-73.9810702,,traffic_signals,3,POINT (-73.9810702 40.7885135)
40.725326,-73.976212,,,3,POINT (-73.976212 40.725326)
40.8126219,-73.9568234,,,3,POINT (-73.9568234 40.8126219)
40.8138307,-73.9598214,,traffic_signals,4,POINT (-73.9598214 40.8138307)
40.814184,-73.9606929,,,3,POINT (-73.9606929 40.814184)
40.7328569,-73.9959291,,traffic_signals,4,POINT (-73.9959291 40.7328569)
40.7341463,-73.9991816,,traffic_signals,4,POINT (-73.9991816 40.7341463)
40.704221,-74.0087998,,traffic_signals,3,POINT (-74.00879980000001 40.704221)
40.703813,-74.008325,,,3,POINT (-74.008325 40.703813)
40.7033242,-74.0077787,,traffic_signals,4,POINT (-74.0077787 40.7033242)
40.7041084,-74.0089696,,traffic_signals,4,POINT (-74.0089696 40.7041084)
40.7032082,-74.0079771,,traffic_signals,4,POINT (-74.00797710000001 40.7032082)
40.769279,-73.9810202,,traffic_signals,3,POINT (-73.9810202 40.769279)
40.7697921,-73.9822548,,traffic_signals,4,POINT (-73.98225480000001 40.7697921)
40.7704805,-73.9838467,,traffic_signals,3,POINT (-73.9838467 40.7704805)
40.7716682,-73.9866896,,traffic_signals,4,POINT (-73.98668960000001 40.7716682)
40.7728658,-73.9895487,,traffic_signals,4,POINT (-73.9895487 40.7728658)
40.7872303,-73.9679486,,traffic_signals,3,POINT (-73.9679486 40.7872303)
